COD_REG,COD_PRO,COD_ISTAT,PRO_COM,NOME,COD_IPA,COD_ISTAWikipedia
11,44,11044021,44021,Force,c_d691,044021
13,67,13067022,67022,Cortino,c_d076,067022
13,67,13067023,67023,Crognaleto,c_d179,067023
13,67,13067024,67024,Fano Adriano,c_d489,067024
13,67,13067026,67026,Isola del Gran Sasso d'Italia,c_e343,067026
13,67,13067028,67028,Montorio al Vomano,c_f690,067028
10,54,10054035,54035,Norcia,c_f935,054035
10,54,10054042,54042,Poggiodomo,c_g758,054042
10,54,10054043,54043,Preci,c_h015,054043
10,54,10054045,54045,Sant'Anatolia di Narco,c_i263,054045
10,54,10054047,54047,Scheggino,c_i523,054047
10,54,10054048,54048,Sellano,c_i585,054048
10,54,10054051,54051,Spoleto,c_i921,054051
10,54,10054058,54058,Vallo di Nera,c_l627,054058
10,55,10055005,55005,Arrone,c_a439,055005
10,55,10055012,55012,Ferentillo,c_d538,055012
10,55,10055019,55019,Montefranco,c_f510,055019
12,57,12057033,57033,Leonessa,c_e535,057033
12,57,12057037,57037,Micigliano,c_f193,057037
12,57,12057051,57051,Poggio Bustone,c_g756,057051
12,57,12057057,57057,Posta,c_g934,057057
12,57,12057059,57059,Rieti,c_h282,057059
12,57,12057060,57060,Rivodutri,c_h354,057060
10,54,10054007,54007,Cascia,c_b948,054007
10,54,10054010,54010,Cerreto di Spoleto,c_c527,054010
10,54,10054031,54031,Monteleone di Spoleto,c_f540,054031
10,55,10055027,55027,Polino,c_g790,055027
11,42,11042013,42013,Cerreto d'Esi,c_c524,042013
11,42,11042017,42017,Fabriano,c_d451,042017
11,43,11043001,43001,Acquacanina,c_a031,043001
11,43,11043002,43002,Apiro,c_a329,043002
11,43,11043004,43004,Belforte del Chienti,c_a739,043004
11,43,11043005,43005,Bolognola,c_a947,043005
11,43,11043006,43006,Caldarola,c_b398,043006
11,43,11043007,43007,Camerino,c_b474,043007
11,43,11043008,43008,Camporotondo di Fiastrone,c_b561,043008
11,43,11043009,43009,Castelraimondo,c_c251,043009
11,43,11043032,43032,Monte San Martino,c_f622,043032
11,43,11043034,43034,Muccia,c_F793,043034
11,43,11043035,43035,Penna San Giovanni,c_g436,043035
11,43,11043036,43036,Petriolo,c_g515,043036
11,43,11043037,43037,Pievebovigliana,c_g637,043037
11,43,11043038,43038,Pieve Torina,c_g657,043038
11,43,11043039,43039,Pioraco,c_g690,043039
11,43,11043040,43040,Poggio San Vicino,c_d566,043040
11,43,11043041,43041,Pollenza,c_f567,043041
11,43,11043045,43045,Ripe San Ginesio,c_h323,043045
11,43,11043046,43046,San Ginesio,c_h876,043046
11,43,11043047,43047,San Severino Marche,c_i158,043047
11,43,11043048,43048,Sant'Angelo in Pontano,c_i286,043048
11,43,11043049,43049,Sarnano,c_i436,043049
11,43,11043050,43050,Sefro,c_i569,043050
